=> creating model 'resnet50'
=> loading checkpoint 'checkpoint.pth.tar'
=> loaded checkpoint 'checkpoint.pth.tar' (epoch 57)
Loading training data
training data loaded
Epoch: [57][0/5005]	Time 53.834 (53.834)	Data 19.398 (19.398)	Loss 1.1993 (1.1993)	Acc@1 71.484 (71.484)	Acc@5 89.062 (89.062)
Epoch: [57][10/5005]	Time 1.412 (6.499)	Data 0.695 (2.802)	Loss 1.5075 (1.1665)	Acc@1 66.797 (72.727)	Acc@5 84.375 (88.885)
Epoch: [57][20/5005]	Time 2.467 (5.072)	Data 1.889 (2.782)	Loss 1.0968 (1.1536)	Acc@1 73.047 (72.377)	Acc@5 90.234 (89.137)
Epoch: [57][30/5005]	Time 1.076 (4.807)	Data 0.213 (3.033)	Loss 1.1642 (1.1685)	Acc@1 72.266 (72.165)	Acc@5 90.234 (88.949)
Epoch: [57][40/5005]	Time 1.961 (4.460)	Data 1.428 (2.978)	Loss 1.2782 (1.1757)	Acc@1 68.359 (71.913)	Acc@5 88.672 (88.872)
Epoch: [57][50/5005]	Time 0.822 (4.434)	Data 0.000 (3.124)	Loss 1.1031 (1.1813)	Acc@1 74.219 (71.959)	Acc@5 89.062 (88.863)
Epoch: [57][60/5005]	Time 1.968 (4.280)	Data 1.386 (3.095)	Loss 1.1809 (1.1877)	Acc@1 71.875 (71.728)	Acc@5 90.625 (88.800)
Epoch: [57][70/5005]	Time 0.576 (4.246)	Data 0.000 (3.148)	Loss 1.0551 (1.1886)	Acc@1 75.391 (71.710)	Acc@5 90.625 (88.732)
Epoch: [57][80/5005]	Time 2.095 (4.206)	Data 1.566 (3.175)	Loss 1.1253 (1.1871)	Acc@1 74.219 (71.750)	Acc@5 90.234 (88.855)
Epoch: [57][90/5005]	Time 3.303 (4.193)	Data 2.828 (3.202)	Loss 1.4076 (1.1838)	Acc@1 66.406 (71.781)	Acc@5 87.500 (88.882)
Epoch: [57][100/5005]	Time 0.535 (4.158)	Data 0.000 (3.209)	Loss 1.3286 (1.1848)	Acc@1 69.141 (71.720)	Acc@5 87.109 (88.919)
Epoch: [57][110/5005]	Time 3.339 (4.128)	Data 2.835 (3.215)	Loss 1.0804 (1.1816)	Acc@1 77.734 (71.798)	Acc@5 89.062 (88.953)
Epoch: [57][120/5005]	Time 0.570 (4.088)	Data 0.000 (3.204)	Loss 1.0484 (1.1759)	Acc@1 76.172 (71.982)	Acc@5 89.844 (89.030)
Epoch: [57][130/5005]	Time 8.631 (4.110)	Data 7.793 (3.244)	Loss 1.0199 (1.1777)	Acc@1 73.828 (71.908)	Acc@5 92.188 (89.000)
Epoch: [57][140/5005]	Time 0.534 (4.043)	Data 0.000 (3.194)	Loss 1.0914 (1.1759)	Acc@1 74.219 (71.914)	Acc@5 89.844 (89.015)
Epoch: [57][150/5005]	Time 6.037 (4.048)	Data 5.463 (3.219)	Loss 1.1254 (1.1771)	Acc@1 75.391 (71.888)	Acc@5 91.016 (89.024)
Epoch: [57][160/5005]	Time 0.393 (3.940)	Data 0.000 (3.136)	Loss 1.1709 (1.1808)	Acc@1 72.656 (71.846)	Acc@5 88.672 (88.951)
