=> creating model 'resnet50'
=> loading checkpoint 'checkpoint.pth.tar'
=> loaded checkpoint 'checkpoint.pth.tar' (epoch 50)
Loading training data
training data loaded
Epoch: [50][0/5005]	Time 46.369 (46.369)	Data 13.499 (13.499)	Loss 1.1713 (1.1713)	Acc@1 74.219 (74.219)	Acc@5 89.453 (89.453)
Epoch: [50][10/5005]	Time 4.142 (5.604)	Data 3.629 (2.121)	Loss 1.2070 (1.2334)	Acc@1 71.875 (70.703)	Acc@5 90.234 (88.707)
Epoch: [50][20/5005]	Time 0.458 (4.123)	Data 0.000 (2.028)	Loss 1.2389 (1.2343)	Acc@1 69.922 (71.075)	Acc@5 87.891 (88.430)
Epoch: [50][30/5005]	Time 4.953 (3.847)	Data 4.465 (2.269)	Loss 1.1939 (1.2390)	Acc@1 71.484 (71.031)	Acc@5 87.891 (88.357)
Epoch: [50][40/5005]	Time 0.454 (3.463)	Data 0.000 (2.146)	Loss 0.9583 (1.2116)	Acc@1 75.781 (71.246)	Acc@5 93.359 (88.872)
Epoch: [50][50/5005]	Time 3.920 (3.458)	Data 3.460 (2.303)	Loss 0.9106 (1.2019)	Acc@1 77.734 (71.232)	Acc@5 92.188 (88.948)
Epoch: [50][60/5005]	Time 0.746 (3.293)	Data 0.292 (2.241)	Loss 1.1969 (1.2031)	Acc@1 68.750 (71.254)	Acc@5 89.062 (88.947)
Epoch: [50][70/5005]	Time 1.482 (3.316)	Data 0.992 (2.337)	Loss 1.0772 (1.2083)	Acc@1 72.266 (71.132)	Acc@5 90.625 (88.853)
Epoch: [50][80/5005]	Time 0.462 (3.210)	Data 0.000 (2.291)	Loss 1.2432 (1.2069)	Acc@1 70.703 (71.229)	Acc@5 86.328 (88.783)
Epoch: [50][90/5005]	Time 0.508 (3.222)	Data 0.000 (2.351)	Loss 1.1959 (1.2118)	Acc@1 72.266 (71.141)	Acc@5 88.281 (88.689)
Epoch: [50][100/5005]	Time 0.498 (3.140)	Data 0.000 (2.307)	Loss 1.3274 (1.2089)	Acc@1 67.969 (71.156)	Acc@5 86.719 (88.714)
Epoch: [50][110/5005]	Time 1.165 (3.146)	Data 0.738 (2.341)	Loss 1.1940 (1.2102)	Acc@1 73.438 (71.182)	Acc@5 89.844 (88.725)
Epoch: [50][120/5005]	Time 0.439 (3.096)	Data 0.000 (2.316)	Loss 1.3443 (1.2096)	Acc@1 69.141 (71.184)	Acc@5 87.891 (88.759)
Epoch: [50][130/5005]	Time 0.484 (3.122)	Data 0.000 (2.362)	Loss 1.1105 (1.2076)	Acc@1 69.531 (71.252)	Acc@5 91.797 (88.746)
Epoch: [50][140/5005]	Time 0.483 (3.090)	Data 0.000 (2.348)	Loss 1.3626 (1.2069)	Acc@1 68.359 (71.332)	Acc@5 87.109 (88.766)
Epoch: [50][150/5005]	Time 2.334 (3.114)	Data 1.716 (2.386)	Loss 1.2268 (1.2095)	Acc@1 69.141 (71.311)	Acc@5 89.062 (88.700)
Epoch: [50][160/5005]	Time 0.518 (3.089)	Data 0.000 (2.374)	Loss 1.3002 (1.2150)	Acc@1 68.359 (71.225)	Acc@5 88.281 (88.648)
Epoch: [50][170/5005]	Time 2.588 (3.115)	Data 2.068 (2.411)	Loss 1.2350 (1.2181)	Acc@1 70.703 (71.151)	Acc@5 87.500 (88.626)
Epoch: [50][180/5005]	Time 0.739 (3.089)	Data 0.000 (2.394)	Loss 1.0598 (1.2158)	Acc@1 75.000 (71.234)	Acc@5 89.453 (88.650)
Epoch: [50][190/5005]	Time 1.587 (3.110)	Data 1.149 (2.426)	Loss 1.0940 (1.2151)	Acc@1 72.656 (71.200)	Acc@5 90.234 (88.662)
Epoch: [50][200/5005]	Time 0.491 (3.076)	Data 0.000 (2.402)	Loss 1.0890 (1.2137)	Acc@1 73.438 (71.218)	Acc@5 88.672 (88.676)
Epoch: [50][210/5005]	Time 1.869 (3.089)	Data 1.401 (2.422)	Loss 1.2165 (1.2149)	Acc@1 69.531 (71.164)	Acc@5 90.625 (88.666)
Epoch: [50][220/5005]	Time 0.418 (3.066)	Data 0.000 (2.406)	Loss 1.1682 (1.2148)	Acc@1 69.922 (71.147)	Acc@5 91.016 (88.642)
Epoch: [50][230/5005]	Time 4.889 (3.094)	Data 4.347 (2.441)	Loss 1.2542 (1.2139)	Acc@1 71.094 (71.143)	Acc@5 85.547 (88.643)
Epoch: [50][240/5005]	Time 0.410 (3.070)	Data 0.000 (2.422)	Loss 1.2225 (1.2131)	Acc@1 71.484 (71.144)	Acc@5 88.672 (88.657)
Epoch: [50][250/5005]	Time 7.282 (3.094)	Data 6.823 (2.452)	Loss 1.1302 (1.2095)	Acc@1 72.656 (71.223)	Acc@5 89.453 (88.689)
Epoch: [50][260/5005]	Time 0.854 (3.071)	Data 0.000 (2.431)	Loss 1.1402 (1.2113)	Acc@1 72.656 (71.204)	Acc@5 89.062 (88.655)
Epoch: [50][270/5005]	Time 7.036 (3.084)	Data 6.561 (2.448)	Loss 1.2587 (1.2122)	Acc@1 72.656 (71.179)	Acc@5 88.281 (88.627)
Epoch: [50][280/5005]	Time 0.408 (3.062)	Data 0.000 (2.430)	Loss 1.0718 (1.2108)	Acc@1 73.047 (71.201)	Acc@5 87.891 (88.643)
Epoch: [50][290/5005]	Time 8.208 (3.074)	Data 7.658 (2.447)	Loss 1.3275 (1.2140)	Acc@1 64.062 (71.150)	Acc@5 90.234 (88.602)
Epoch: [50][300/5005]	Time 0.448 (3.051)	Data 0.000 (2.428)	Loss 1.1301 (1.2144)	Acc@1 71.875 (71.148)	Acc@5 89.062 (88.585)
Epoch: [50][310/5005]	Time 9.046 (3.059)	Data 8.586 (2.440)	Loss 1.1740 (1.2170)	Acc@1 74.219 (71.094)	Acc@5 89.062 (88.554)
Epoch: [50][320/5005]	Time 0.397 (3.039)	Data 0.000 (2.423)	Loss 1.2053 (1.2166)	Acc@1 73.438 (71.133)	Acc@5 87.109 (88.548)
Epoch: [50][330/5005]	Time 8.343 (3.055)	Data 7.805 (2.442)	Loss 1.3323 (1.2179)	Acc@1 67.578 (71.068)	Acc@5 84.766 (88.517)
Epoch: [50][340/5005]	Time 0.443 (3.037)	Data 0.000 (2.426)	Loss 1.2739 (1.2172)	Acc@1 69.922 (71.077)	Acc@5 87.500 (88.537)
Epoch: [50][350/5005]	Time 7.973 (3.043)	Data 7.453 (2.436)	Loss 1.1911 (1.2164)	Acc@1 70.312 (71.112)	Acc@5 89.453 (88.535)
Epoch: [50][360/5005]	Time 0.537 (3.028)	Data 0.000 (2.424)	Loss 1.2684 (1.2164)	Acc@1 69.531 (71.095)	Acc@5 87.500 (88.567)
Epoch: [50][370/5005]	Time 7.967 (3.039)	Data 7.508 (2.438)	Loss 1.1971 (1.2154)	Acc@1 73.047 (71.118)	Acc@5 89.453 (88.582)
Epoch: [50][380/5005]	Time 0.471 (3.021)	Data 0.000 (2.421)	Loss 1.1829 (1.2159)	Acc@1 70.703 (71.111)	Acc@5 87.891 (88.572)
Epoch: [50][390/5005]	Time 7.506 (3.032)	Data 6.800 (2.435)	Loss 1.0993 (1.2151)	Acc@1 72.266 (71.114)	Acc@5 92.188 (88.583)
Epoch: [50][400/5005]	Time 0.500 (3.022)	Data 0.000 (2.426)	Loss 1.0881 (1.2170)	Acc@1 73.828 (71.059)	Acc@5 89.453 (88.571)
