=> creating model 'resnet50'
=> loading checkpoint 'checkpoint.pth.tar'
=> loaded checkpoint 'checkpoint.pth.tar' (epoch 86)
Loading training data
training data loaded
Epoch: [86][0/5005]	Time 43.988 (43.988)	Data 12.849 (12.849)	Loss 1.0518 (1.0518)	Acc@1 78.125 (78.125)	Acc@5 89.062 (89.062)
Epoch: [86][10/5005]	Time 2.908 (5.214)	Data 2.409 (1.892)	Loss 1.0834 (1.1214)	Acc@1 76.172 (73.935)	Acc@5 89.453 (89.524)
Epoch: [86][20/5005]	Time 0.420 (3.870)	Data 0.050 (1.913)	Loss 1.0767 (1.0897)	Acc@1 71.094 (74.107)	Acc@5 91.406 (90.253)
Epoch: [86][30/5005]	Time 2.588 (3.620)	Data 2.200 (2.155)	Loss 0.9901 (1.0876)	Acc@1 72.266 (74.206)	Acc@5 92.188 (90.260)
Epoch: [86][40/5005]	Time 1.547 (3.464)	Data 1.122 (2.260)	Loss 1.0889 (1.0702)	Acc@1 73.828 (74.524)	Acc@5 89.844 (90.511)
Epoch: [86][50/5005]	Time 4.630 (3.395)	Data 4.068 (2.344)	Loss 1.1741 (1.0849)	Acc@1 70.703 (74.119)	Acc@5 91.406 (90.211)
Epoch: [86][60/5005]	Time 0.406 (3.249)	Data 0.000 (2.302)	Loss 1.1319 (1.0776)	Acc@1 72.266 (74.302)	Acc@5 89.062 (90.305)
Epoch: [86][70/5005]	Time 4.243 (3.223)	Data 3.936 (2.353)	Loss 1.0730 (1.0816)	Acc@1 72.656 (74.180)	Acc@5 89.844 (90.234)
Epoch: [86][80/5005]	Time 0.419 (3.139)	Data 0.000 (2.326)	Loss 1.1735 (1.0833)	Acc@1 73.438 (74.127)	Acc@5 89.844 (90.148)
Epoch: [86][90/5005]	Time 3.535 (3.125)	Data 3.212 (2.357)	Loss 1.2884 (1.0890)	Acc@1 69.531 (74.008)	Acc@5 87.109 (90.088)
Epoch: [86][100/5005]	Time 0.420 (3.074)	Data 0.043 (2.337)	Loss 1.0755 (1.0885)	Acc@1 73.047 (73.971)	Acc@5 92.578 (90.107)
Epoch: [86][110/5005]	Time 4.885 (3.109)	Data 4.529 (2.404)	Loss 1.1515 (1.0928)	Acc@1 72.266 (73.842)	Acc@5 89.453 (90.080)
Epoch: [86][120/5005]	Time 0.441 (3.040)	Data 0.000 (2.357)	Loss 1.1946 (1.0894)	Acc@1 73.438 (73.919)	Acc@5 88.281 (90.131)
Epoch: [86][130/5005]	Time 4.704 (3.047)	Data 4.083 (2.381)	Loss 1.0228 (1.0859)	Acc@1 76.172 (73.956)	Acc@5 90.234 (90.178)
Epoch: [86][140/5005]	Time 0.390 (2.998)	Data 0.000 (2.352)	Loss 1.0289 (1.0844)	Acc@1 76.953 (74.033)	Acc@5 91.016 (90.229)
Epoch: [86][150/5005]	Time 3.093 (3.011)	Data 2.758 (2.380)	Loss 0.9739 (1.0839)	Acc@1 78.516 (73.989)	Acc@5 90.625 (90.237)
Epoch: [86][160/5005]	Time 0.453 (2.977)	Data 0.000 (2.358)	Loss 1.0976 (1.0836)	Acc@1 75.781 (74.010)	Acc@5 90.234 (90.263)
Epoch: [86][170/5005]	Time 1.427 (2.978)	Data 1.075 (2.371)	Loss 1.1765 (1.0867)	Acc@1 74.219 (73.981)	Acc@5 89.844 (90.209)
Epoch: [86][180/5005]	Time 0.589 (2.946)	Data 0.093 (2.346)	Loss 1.2767 (1.0862)	Acc@1 68.359 (73.964)	Acc@5 87.109 (90.211)
Epoch: [86][190/5005]	Time 0.456 (2.950)	Data 0.000 (2.356)	Loss 0.9233 (1.0845)	Acc@1 77.734 (74.018)	Acc@5 93.750 (90.228)
Epoch: [86][200/5005]	Time 0.520 (2.924)	Data 0.000 (2.335)	Loss 1.2078 (1.0865)	Acc@1 74.219 (73.980)	Acc@5 88.281 (90.201)
Epoch: [86][210/5005]	Time 0.425 (2.938)	Data 0.000 (2.356)	Loss 0.9498 (1.0891)	Acc@1 75.000 (73.950)	Acc@5 96.094 (90.175)
Epoch: [86][220/5005]	Time 1.309 (2.915)	Data 0.867 (2.341)	Loss 1.2055 (1.0883)	Acc@1 73.438 (73.962)	Acc@5 88.672 (90.178)
Epoch: [86][230/5005]	Time 0.457 (2.922)	Data 0.000 (2.354)	Loss 1.2441 (1.0875)	Acc@1 74.609 (73.994)	Acc@5 87.109 (90.167)
Epoch: [86][240/5005]	Time 0.405 (2.910)	Data 0.000 (2.348)	Loss 1.1303 (1.0847)	Acc@1 73.047 (74.045)	Acc@5 89.844 (90.230)
Epoch: [86][250/5005]	Time 0.707 (2.917)	Data 0.253 (2.359)	Loss 1.0195 (1.0852)	Acc@1 76.172 (74.040)	Acc@5 91.406 (90.230)
Epoch: [86][260/5005]	Time 0.370 (2.897)	Data 0.000 (2.344)	Loss 1.0187 (1.0850)	Acc@1 76.172 (74.021)	Acc@5 91.016 (90.237)
Epoch: [86][270/5005]	Time 1.991 (2.909)	Data 1.645 (2.361)	Loss 1.1354 (1.0860)	Acc@1 72.266 (74.005)	Acc@5 89.844 (90.220)
Epoch: [86][280/5005]	Time 0.403 (2.899)	Data 0.000 (2.357)	Loss 0.9530 (1.0864)	Acc@1 75.781 (73.953)	Acc@5 92.188 (90.208)
Epoch: [86][290/5005]	Time 2.309 (2.902)	Data 1.934 (2.366)	Loss 0.8963 (1.0879)	Acc@1 78.125 (73.944)	Acc@5 94.141 (90.199)
Epoch: [86][300/5005]	Time 0.359 (2.887)	Data 0.000 (2.355)	Loss 1.1482 (1.0874)	Acc@1 73.438 (73.924)	Acc@5 91.016 (90.212)
Epoch: [86][310/5005]	Time 1.611 (2.893)	Data 1.220 (2.364)	Loss 1.0561 (1.0864)	Acc@1 76.953 (73.949)	Acc@5 89.844 (90.217)
Epoch: [86][320/5005]	Time 0.464 (2.884)	Data 0.000 (2.360)	Loss 1.1219 (1.0853)	Acc@1 73.828 (73.983)	Acc@5 89.844 (90.215)
Epoch: [86][330/5005]	Time 1.522 (2.888)	Data 1.187 (2.368)	Loss 0.9633 (1.0838)	Acc@1 76.562 (74.005)	Acc@5 93.750 (90.227)
Epoch: [86][340/5005]	Time 0.311 (2.881)	Data 0.000 (2.364)	Loss 1.2769 (1.0825)	Acc@1 71.875 (74.023)	Acc@5 87.891 (90.254)
