=> creating model 'resnet50'
=> loading checkpoint 'checkpoint.pth.tar'
=> loaded checkpoint 'checkpoint.pth.tar' (epoch 34)
Loading training data
training data loaded
Epoch: [34][0/5005]	Time 45.660 (45.660)	Data 17.586 (17.586)	Loss 1.2128 (1.2128)	Acc@1 72.656 (72.656)	Acc@5 88.672 (88.672)
Epoch: [34][10/5005]	Time 1.200 (5.845)	Data 0.367 (2.753)	Loss 1.4261 (1.3184)	Acc@1 67.578 (68.928)	Acc@5 86.719 (87.287)
Epoch: [34][20/5005]	Time 0.485 (4.720)	Data 0.000 (2.757)	Loss 1.4391 (1.2987)	Acc@1 66.797 (69.401)	Acc@5 85.938 (87.314)
Epoch: [34][30/5005]	Time 0.385 (4.488)	Data 0.000 (3.004)	Loss 1.1939 (1.2918)	Acc@1 69.141 (69.204)	Acc@5 89.844 (87.626)
Epoch: [34][40/5005]	Time 0.593 (4.211)	Data 0.000 (2.947)	Loss 1.2416 (1.2945)	Acc@1 69.141 (69.026)	Acc@5 87.109 (87.586)
Epoch: [34][50/5005]	Time 0.694 (4.295)	Data 0.000 (3.159)	Loss 1.3190 (1.3062)	Acc@1 67.969 (68.658)	Acc@5 87.500 (87.431)
Epoch: [34][60/5005]	Time 0.664 (4.141)	Data 0.000 (3.088)	Loss 1.3143 (1.2962)	Acc@1 67.969 (69.019)	Acc@5 88.281 (87.641)
Epoch: [34][70/5005]	Time 0.505 (4.255)	Data 0.000 (3.256)	Loss 1.3947 (1.2973)	Acc@1 65.625 (68.976)	Acc@5 85.938 (87.676)
Epoch: [34][80/5005]	Time 0.538 (4.164)	Data 0.000 (3.217)	Loss 1.3070 (1.2999)	Acc@1 67.188 (68.938)	Acc@5 87.500 (87.635)
Epoch: [34][90/5005]	Time 0.675 (4.259)	Data 0.000 (3.346)	Loss 1.3403 (1.3016)	Acc@1 69.141 (68.874)	Acc@5 85.938 (87.629)
Epoch: [34][100/5005]	Time 0.799 (4.187)	Data 0.000 (3.295)	Loss 1.3346 (1.3042)	Acc@1 67.188 (68.820)	Acc@5 86.328 (87.570)
Epoch: [34][110/5005]	Time 0.558 (4.214)	Data 0.000 (3.348)	Loss 1.5623 (1.3062)	Acc@1 66.016 (68.782)	Acc@5 83.594 (87.511)
