=> creating model 'resnet50'
=> loading checkpoint 'checkpoint.pth.tar'
=> loaded checkpoint 'checkpoint.pth.tar' (epoch 57)
Loading training data
training data loaded
Epoch: [57][0/5005]	Time 36.919 (36.919)	Data 10.521 (10.521)	Loss 1.1578 (1.1578)	Acc@1 73.438 (73.438)	Acc@5 88.281 (88.281)
Epoch: [57][10/5005]	Time 2.863 (4.350)	Data 2.444 (1.485)	Loss 1.0923 (1.2053)	Acc@1 75.000 (70.916)	Acc@5 89.062 (88.920)
Epoch: [57][20/5005]	Time 0.450 (3.215)	Data 0.000 (1.486)	Loss 1.2743 (1.1829)	Acc@1 68.359 (71.503)	Acc@5 88.281 (89.174)
Epoch: [57][30/5005]	Time 3.421 (3.008)	Data 2.971 (1.687)	Loss 0.9880 (1.2040)	Acc@1 75.781 (71.069)	Acc@5 92.578 (88.936)
Epoch: [57][40/5005]	Time 0.461 (2.758)	Data 0.000 (1.654)	Loss 1.0907 (1.2046)	Acc@1 74.219 (70.960)	Acc@5 91.016 (88.939)
Epoch: [57][50/5005]	Time 2.634 (2.704)	Data 2.149 (1.729)	Loss 1.0290 (1.1961)	Acc@1 75.000 (71.431)	Acc@5 91.797 (89.116)
Epoch: [57][60/5005]	Time 1.072 (2.592)	Data 0.626 (1.693)	Loss 1.2185 (1.1971)	Acc@1 68.359 (71.350)	Acc@5 87.500 (89.050)
Epoch: [57][70/5005]	Time 1.207 (2.571)	Data 0.756 (1.735)	Loss 1.1042 (1.1811)	Acc@1 71.875 (71.666)	Acc@5 91.406 (89.233)
Epoch: [57][80/5005]	Time 1.473 (2.507)	Data 0.932 (1.718)	Loss 1.2493 (1.1797)	Acc@1 66.016 (71.634)	Acc@5 89.062 (89.135)
Epoch: [57][90/5005]	Time 0.939 (2.502)	Data 0.470 (1.749)	Loss 1.2823 (1.1845)	Acc@1 72.656 (71.660)	Acc@5 87.109 (89.067)
Epoch: [57][100/5005]	Time 0.922 (2.456)	Data 0.557 (1.732)	Loss 1.1327 (1.1811)	Acc@1 75.391 (71.728)	Acc@5 89.844 (89.105)
Epoch: [57][110/5005]	Time 0.741 (2.467)	Data 0.306 (1.767)	Loss 0.9046 (1.1809)	Acc@1 78.516 (71.703)	Acc@5 94.141 (89.105)
Epoch: [57][120/5005]	Time 0.951 (2.434)	Data 0.549 (1.754)	Loss 1.0063 (1.1792)	Acc@1 74.219 (71.694)	Acc@5 91.406 (89.137)
Epoch: [57][130/5005]	Time 1.121 (2.444)	Data 0.666 (1.776)	Loss 1.1416 (1.1775)	Acc@1 73.438 (71.684)	Acc@5 90.625 (89.161)
Epoch: [57][140/5005]	Time 0.483 (2.420)	Data 0.000 (1.767)	Loss 1.1478 (1.1782)	Acc@1 69.531 (71.695)	Acc@5 90.234 (89.135)
Epoch: [57][150/5005]	Time 1.534 (2.423)	Data 1.143 (1.783)	Loss 1.0364 (1.1768)	Acc@1 77.344 (71.808)	Acc@5 91.797 (89.153)
Epoch: [57][160/5005]	Time 0.473 (2.401)	Data 0.000 (1.770)	Loss 1.1550 (1.1774)	Acc@1 73.828 (71.822)	Acc@5 89.844 (89.130)
Epoch: [57][170/5005]	Time 3.030 (2.412)	Data 2.417 (1.789)	Loss 1.1609 (1.1745)	Acc@1 71.484 (71.841)	Acc@5 89.062 (89.170)
Epoch: [57][180/5005]	Time 0.485 (2.380)	Data 0.059 (1.764)	Loss 1.0869 (1.1743)	Acc@1 73.047 (71.815)	Acc@5 89.062 (89.162)
Epoch: [57][190/5005]	Time 1.570 (2.386)	Data 1.095 (1.776)	Loss 1.1874 (1.1762)	Acc@1 69.141 (71.707)	Acc@5 90.234 (89.138)
Epoch: [57][200/5005]	Time 1.340 (2.368)	Data 0.911 (1.765)	Loss 1.3497 (1.1761)	Acc@1 71.094 (71.716)	Acc@5 87.109 (89.154)
Epoch: [57][210/5005]	Time 2.571 (2.376)	Data 2.126 (1.780)	Loss 1.2759 (1.1776)	Acc@1 69.531 (71.688)	Acc@5 89.062 (89.161)
Epoch: [57][220/5005]	Time 1.660 (2.361)	Data 1.238 (1.772)	Loss 1.1975 (1.1762)	Acc@1 73.047 (71.772)	Acc@5 87.500 (89.142)
Epoch: [57][230/5005]	Time 3.124 (2.370)	Data 2.634 (1.786)	Loss 1.1656 (1.1759)	Acc@1 72.656 (71.801)	Acc@5 89.062 (89.149)
Epoch: [57][240/5005]	Time 1.495 (2.355)	Data 1.053 (1.776)	Loss 1.1115 (1.1738)	Acc@1 72.266 (71.901)	Acc@5 88.672 (89.168)
Epoch: [57][250/5005]	Time 3.506 (2.364)	Data 2.999 (1.789)	Loss 1.3422 (1.1735)	Acc@1 69.922 (71.920)	Acc@5 88.281 (89.181)
Epoch: [57][260/5005]	Time 0.830 (2.349)	Data 0.395 (1.779)	Loss 1.1602 (1.1717)	Acc@1 75.000 (71.936)	Acc@5 87.891 (89.188)
Epoch: [57][270/5005]	Time 3.896 (2.357)	Data 3.512 (1.790)	Loss 1.2166 (1.1721)	Acc@1 73.438 (71.941)	Acc@5 85.547 (89.182)
Epoch: [57][280/5005]	Time 0.416 (2.343)	Data 0.017 (1.779)	Loss 1.0333 (1.1728)	Acc@1 73.438 (71.917)	Acc@5 92.188 (89.164)
Epoch: [57][290/5005]	Time 4.078 (2.352)	Data 3.642 (1.790)	Loss 1.0383 (1.1732)	Acc@1 73.828 (71.888)	Acc@5 91.797 (89.150)
Epoch: [57][300/5005]	Time 1.376 (2.340)	Data 0.927 (1.782)	Loss 1.2261 (1.1736)	Acc@1 71.875 (71.872)	Acc@5 89.453 (89.139)
Epoch: [57][310/5005]	Time 3.348 (2.348)	Data 2.940 (1.793)	Loss 1.2789 (1.1743)	Acc@1 73.047 (71.886)	Acc@5 89.844 (89.138)
Epoch: [57][320/5005]	Time 0.978 (2.335)	Data 0.485 (1.784)	Loss 1.0784 (1.1748)	Acc@1 73.828 (71.887)	Acc@5 92.188 (89.123)
